@relation MultiLabelData-weka.filters.unsupervised.attribute.Remove-V-R104-117

@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}

@data
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,0,0,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,1,1,1,1,0
1,1,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1,1,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,1,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,1,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,1,1,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,1,1,1,1,0
0,1,1,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,1,1,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,1,1,1,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,1,1,1,1,0
0,0,1,1,0,0,1,1,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,1,1,0,1,1,0
1,1,0,0,0,1,1,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,1,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,0,0,1,1,1,0
0,0,0,0,1,1,0,1,1,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,1,1,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,1,1,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,1,0,0,1,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,1,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,1,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,0,0,1,1,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,1,1,1,1,0
0,1,1,0,1,1,1,1,0,0,0,1,1,0
0,0,1,1,1,1,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,1,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,1,1,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,1,1,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,1,1,0,0,1,1,0
0,1,1,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,1,1,1,0
1,1,0,0,1,1,0,1,1,0,0,1,1,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,1,1,1,0
1,1,0,0,1,1,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,1,1,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,0,1,1,0
0,1,1,1,1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,1,1,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,1,1,0,0,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,1,1,0,0,0,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,1,1,0,1,1,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
1,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
0,1,1,0,1,1,1,1,0,1,1,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,1,1,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,1,1,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,1,1,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,0,1,1,1,0
1,1,0,0,0,1,1,1,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,1,1,0,0,1,1,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,1,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,1,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,1,1,1,0,0,0,1,1,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,1,1,1,0
0,0,0,0,0,1,1,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,0
0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0,1,1,0,0
1,1,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,1
